ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.506,-0.294,1.215,-40.955,-26.123,-2.747,0.797,0.216,1.469,45.227,-23.743,28.32,67,86,Vlad
0.529,-0.302,1.257,-46.509,-23.132,-3.418,0.759,0.192,1.438,53.284,-13.428,29.236,67,87,Vlad
0.481,-0.286,1.233,-51.819,-14.404,-3.662,0.788,0.171,1.419,58.777,-8.362,30.64,67,88,Vlad
0.483,-0.268,1.21,-54.749,3.967,-2.93,0.766,0.146,1.415,60.364,-9.155,33.813,67,89,Vlad
0.495,-0.265,1.179,-56.091,4.822,-8.911,0.8,0.124,1.418,62.195,-5.188,35.889,67,90,Vlad
0.494,-0.212,1.176,-57.556,5.432,-10.437,0.82,0.105,1.396,61.523,-1.16,37.476,67,91,Vlad
0.484,-0.176,1.174,-58.472,4.822,-14.526,0.798,0.087,1.386,58.716,2.808,37.781,67,92,Vlad
0.542,-0.164,1.139,-57.19,2.075,-17.456,0.843,0.078,1.35,54.932,4.517,39.856,67,93,Vlad
0.522,-0.155,1.126,-57.007,1.892,-16.479,0.808,0.065,1.356,49.927,2.502,39.001,67,94,Vlad
0.514,-0.143,1.143,-53.65,1.404,-19.165,0.822,0.032,1.371,41.443,0.061,40.283,67,95,Vlad
0.528,-0.134,1.118,-50.232,1.648,-19.958,0.814,-0.005,1.37,36.682,-2.686,40.405,67,96,Vlad
0.524,-0.119,1.097,-46.814,-1.099,-25.085,0.814,0.004,1.341,30.029,-6.287,39.856,67,97,Vlad
0.582,-0.091,1.09,-41.077,-7.08,-26.001,0.775,-0.011,1.342,26.367,-4.944,39.185,67,98,Vlad
0.527,-0.074,1.029,-36.316,-10.254,-28.748,0.792,-0.04,1.316,23.01,-5.676,39.917,67,99,Vlad
0.611,-0.054,1.077,-30.396,-12.878,-29.724,0.792,-0.099,1.338,18.616,-14.465,40.588,67,100,Vlad
0.655,-0.053,1.013,-24.17,-4.883,-28.32,0.842,-0.108,1.344,12.756,-16.113,41.26,67,101,Vlad
0.625,-0.064,0.941,-13.611,-1.16,-27.649,0.833,-0.1,1.351,9.277,-9.094,40.527,67,102,Vlad
0.591,-0.045,0.998,-4.089,-12.573,-29.236,0.792,-0.149,1.343,7.507,-9.827,36.865,67,103,Vlad
0.661,-0.023,1.119,0.854,-20.813,-24.841,0.862,-0.157,1.362,2.075,-22.461,34.119,67,104,Vlad
