Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X	Magnetic field Y	Magnetic field Z	Temperature()	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
22:35:13.664	COM3_115200	2000-0-0 0:25:53.965	0,380	-0,667	1,599	-64,880	12,024	-9,338	-44,544	-17,858	-174,935	-27,608	141,117	5,800	38,67															
22:35:13.679	COM8_115200	2000-0-0 0:31:5.150	0,480	0,731	1,526	39,001	24,780	16,479	37,315	-29,630	-46,846	-48,158	62,258	41,300	35,99															
22:35:13.695	COM3_115200	2000-0-0 0:25:53.985	0,318	-0,640	1,570	-74,585	21,240	-7,324	-45,604	-17,650	-175,336	-28,017	140,825	6,975	38,73															
22:35:13.726	COM3_115200	2000-0-0 0:25:54.005	0,370	-0,666	1,492	-79,712	24,963	-5,920	-46,763	-17,342	-175,809	-28,425	140,367	8,333	38,80															
22:35:13.742	COM3_115200	2000-0-0 0:25:54.025	0,426	-0,753	1,413	-80,078	29,724	-3,174	-47,950	-16,957	-176,336	-28,808	139,800	10,058	38,61															
22:35:13.742	COM3_115200	2000-0-0 0:25:54.045	0,447	-0,691	1,389	-77,942	22,644	-1,282	-49,125	-16,578	-176,776	-29,192	139,075	11,767	38,76															
22:35:13.742	COM8_115200	2000-0-0 0:31:5.170	0,490	0,687	1,564	40,649	26,428	16,235	37,634	-29,262	-46,154	-48,158	62,258	41,300	36,01															
22:35:13.742	COM8_115200	2000-0-0 0:31:5.190	0,479	0,629	1,514	44,006	33,020	19,348	37,958	-28,845	-45,368	-48,158	62,258	41,300	35,96															
22:35:13.758	COM3_115200	2000-0-0 0:25:54.065	0,435	-0,650	1,378	-72,327	13,428	-4,944	-50,240	-16,370	-177,078	-29,558	138,450	13,400	38,73															
22:35:13.789	COM3_115200	2000-0-0 0:25:54.085	0,409	-0,690	1,375	-66,162	7,080	-8,484	-51,229	-16,331	-177,336	-29,875	137,842	15,208	38,70															
22:35:13.789	COM8_115200	2000-0-0 0:31:5.210	0,608	0,594	1,518	47,485	32,166	23,438	38,293	-28,433	-44,462	-48,158	62,258	41,300	36,03															
22:35:13.789	COM8_115200	2000-0-0 0:31:5.230	0,560	0,602	1,542	45,410	22,827	23,804	38,655	-28,185	-43,632	-48,158	62,258	41,300	36,00															
22:35:13.789	COM8_115200	2000-0-0 0:31:5.250	0,558	0,548	1,517	47,791	24,109	26,062	39,034	-27,993	-42,808	-48,158	62,258	41,300	36,00															
22:35:13.804	COM8_115200	2000-0-0 0:31:5.270	0,548	0,532	1,473	48,218	18,066	30,579	39,419	-27,916	-41,968	-48,158	62,258	41,300	35,99															
22:35:13.804	COM3_115200	2000-0-0 0:25:54.105	0,362	-0,666	1,403	-61,035	9,460	-9,338	-52,103	-16,342	-177,594	-30,225	137,075	17,125	38,67															
22:35:13.820	COM3_115200	2000-0-0 0:25:54.125	0,385	-0,673	1,355	-54,626	11,353	-11,841	-52,828	-16,342	-177,946	-30,567	136,367	18,608	38,73															
22:35:13.836	COM8_115200	2000-0-0 0:31:5.290	0,559	0,490	1,483	48,828	17,273	33,020	39,787	-27,960	-41,149	-48,158	62,258	41,300	36,00															
22:35:13.836	COM8_115200	2000-0-0 0:31:5.310	0,544	0,473	1,436	50,903	22,400	35,461	40,150	-27,960	-40,199	-48,158	62,258	41,300	36,02															
22:35:13.836	COM3_115200	2000-0-0 0:25:54.145	0,416	-0,618	1,365	-50,171	6,775	-16,541	-53,438	-16,441	-178,286	-30,950	135,642	20,017	38,74															
22:35:13.851	COM8_115200	2000-0-0 0:31:5.330	0,534	0,463	1,489	49,011	32,959	35,583	40,402	-27,889	-39,177	-48,158	62,258	41,300	36,00															
22:35:13.851	COM3_115200	2000-0-0 0:25:54.165	0,389	-0,665	1,327	-45,715	6,104	-18,738	-53,948	-16,639	-178,616	-31,500	134,908	21,508	38,67															
22:35:13.867	COM8_115200	2000-0-0 0:31:5.350	0,624	0,390	1,446	52,612	41,199	42,297	40,583	-27,708	-37,886	-48,158	62,258	41,300	35,96															
22:35:13.882	COM3_115200	2000-0-0 0:25:54.185	0,374	-0,648	1,355	-44,922	16,296	-18,311	-54,382	-16,776	-179,050	-32,025	134,158	22,833	38,77															
22:35:13.898	COM8_115200	2000-0-0 0:31:5.370	0,688	0,459	1,457	57,373	34,668	43,945	40,836	-27,603	-36,530	-48,158	62,258	41,300	36,03															
22:35:13.898	COM3_115200	2000-0-0 0:25:54.205	0,403	-0,602	1,337	-43,640	31,799	-18,799	-54,728	-16,743	-179,725	-32,658	133,450	24,133	38,73															
22:35:13.914	COM8_115200	2000-0-0 0:31:5.390	0,645	0,434	1,522	57,861	16,052	44,678	41,226	-27,757	-35,436	-48,158	62,258	41,300	35,93															
22:35:13.914	COM3_115200	2000-0-0 0:25:54.225	0,446	-0,618	1,324	-41,565	38,635	-20,386	-54,981	-16,617	179,412	-33,417	132,742	25,092	38,76															
22:35:13.929	COM3_115200	2000-0-0 0:25:54.245	0,390	-0,612	1,332	-39,551	44,067	-26,733	-55,140	-16,512	178,396	-34,300	132,008	26,008	38,75															
22:35:13.945	COM8_115200	2000-0-0 0:31:5.410	0,657	0,539	1,446	59,021	0,610	46,326	41,704	-28,152	-34,486	-48,158	62,258	41,300	35,95															
22:35:13.945	COM3_115200	2000-0-0 0:25:54.265	0,471	-0,588	1,333	-36,987	33,569	-30,090	-55,256	-16,518	177,369	-35,442	131,217	26,842	38,73															
22:35:13.961	COM8_115200	2000-0-0 0:31:5.430	0,716	0,501	1,481	59,326	-13,916	46,082	42,292	-28,856	-33,871	-48,158	62,258	41,300	36,08															
22:35:13.961	COM8_115200	2000-0-0 0:31:5.450	0,650	0,462	1,429	66,956	-7,385	40,894	42,973	-29,471	-33,223	-48,158	62,258	41,300	36,07															
22:35:13.976	COM3_115200	2000-0-0 0:25:54.285	0,501	-0,573	1,368	-33,813	23,315	-31,189	-55,349	-16,710	176,572	-36,625	130,408	27,700	38,71															
22:35:13.992	COM8_115200	2000-0-0 0:31:5.470	0,701	0,503	1,401	65,674	-24,658	38,513	43,813	-30,157	-32,800	-48,158	62,258	41,300	35,99															
22:35:13.999	COM3_115200	2000-0-0 0:25:54.305	0,517	-0,556	1,372	-31,250	14,587	-33,813	-55,426	-17,029	175,869	-37,758	129,600	28,567	38,68															
22:35:14.015	COM8_115200	2000-0-0 0:31:5.490	0,725	0,443	1,428	62,134	-31,189	39,856	44,681	-31,069	-32,624	-48,158	62,258	41,300	35,99															
22:35:14.019	COM3_115200	2000-0-0 0:25:54.325	0,477	-0,507	1,426	-31,189	9,888	-36,438	-55,492	-17,463	175,237	-38,942	128,792	29,392	38,68															
22:35:14.032	COM8_115200	2000-0-0 0:31:5.510	0,624	0,437	1,359	62,927	-20,142	34,363	45,505	-31,822	-32,355	-48,158	62,258	41,300	35,94															
22:35:14.046	COM3_115200	2000-0-0 0:25:54.345	0,483	-0,436	1,451	-34,241	11,108	-37,598	-55,563	-17,952	174,611	-40,100	127,925	29,992	38,73															
22:35:14.046	COM8_115200	2000-0-0 0:31:5.530	0,667	0,399	1,404	64,514	-14,465	33,936	46,291	-32,459	-32,053	-48,158	62,258	41,300	35,98															
22:35:14.093	COM8_115200	2000-0-0 0:31:5.550	0,631	0,382	1,380	62,073	-8,911	35,400	46,967	-32,992	-31,569	-48,158	62,258	41,300	35,94															
22:35:14.093	COM8_115200	2000-0-0 0:31:5.570	0,682	0,318	1,409	67,932	-3,906	35,278	47,642	-33,481	-31,025	-48,158	62,258	41,300	36,04															
